OTUID,Kingdom,Phylum,Order,Class,Family,Genus,Species
61b9d845aeb2d057159523e9dae6ec8e,D_0__Bacteria,D_1__Proteobacteria,D_2__Deltaproteobacteria,D_3__Sva0485,D_4__unculturedprokaryote,D_5__unculturedprokaryote,D_6__unculturedprokaryote
61c882c8b48faa21a2f43186b7c568b3,D_0__Archaea,D_1__Nanoarchaeaeota,D_2__Woesearchaeia,D_3__unculturedeuryarchaeote,D_4__unculturedeuryarchaeote,D_5__unculturedeuryarchaeote,D_6__unculturedeuryarchaeote
61c99e8c05e4ec601235ebdd8cee0f9b,D_0__Bacteria,D_1__Proteobacteria,D_2__Deltaproteobacteria,D_3__Bdellovibrionales,D_4__Bacteriovoracaceae,D_5__Bacteriovorax,D_6__unculturedbacterium
61ca7614a7554a411bae110fddd9b1ca,D_0__Bacteria,D_1__Cyanobacteria,D_2__Melainabacteria,D_3__Gastranaerophilales,,,
61d033e97710a4748c66d1a8c6cf8ebe,D_0__Bacteria,D_1__Proteobacteria,D_2__Deltaproteobacteria,D_3__Myxococcales,D_4__Sandaracinaceae,D_5__uncultured,
61d0ab4c7b69f74c66bab6f58c80e624,D_0__Archaea,D_1__Nanoarchaeaeota,D_2__Woesearchaeia,D_3__unculturedarchaeon,D_4__unculturedarchaeon,D_5__unculturedarchaeon,D_6__unculturedarchaeon
61d653d7e65ae2cd9629f7a9595783b1,D_0__Bacteria,D_1__Planctomycetes,D_2__Phycisphaerae,D_3__MSBL9,D_4__SG8-4,D_5__unculturedbacterium,D_6__unculturedbacterium
61d96b86c674ec6276984c9be7a81efc,D_0__Bacteria,D_1__Proteobacteria,D_2__Alphaproteobacteria,D_3__Sphingomonadales,D_4__Sphingomonadaceae,D_5__Novosphingobium,
61da2cab343fb4749a7ed4f7751c3c70,D_0__Bacteria,D_1__Proteobacteria,D_2__Gammaproteobacteria,D_3__Oceanospirillales,D_4__Halomonadaceae,D_5__Halomonas,D_6__metagenome
61dca9abc13a45c9305fc8cc3037bdae,D_0__Bacteria,D_1__LCP-89,D_2__unculturedbacterium,D_3__unculturedbacterium,D_4__unculturedbacterium,D_5__unculturedbacterium,D_6__unculturedbacterium
61e649fdd79a9f936549528c72ea6c4b,D_0__Bacteria,D_1__Proteobacteria,D_2__Deltaproteobacteria,D_3__Bdellovibrionales,D_4__Bacteriovoracaceae,D_5__Peredibacter,D_6__unculturedbacterium
61e91b8049e31fabf266dbe4c8a932d7,D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Flavobacteriales,D_4__Weeksellaceae,D_5__Cloacibacterium,
